,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged,name,duration,avg_pledge,deadline_year,launched_year,deadline_month,launched_month,pred_usd_pledged
35520,Film & Video,USD,2014-09-06 20:06:06,2000.0,2014-08-07 20:06:06,115.0,failed,5,US,115.0,Duality,30,23.0,2014,2014,9,8,3789.32421875
35528,Music,USD,2015-02-01 23:29:47,7500.0,2014-12-03 23:29:47,526.0,failed,3,US,526.0,Bamm Hollow - Downhill From Here - NEW ALBUM!!!,60,175.33333333333334,2015,2014,2,12,9635.359375
35581,Fashion,USD,2016-06-05 21:28:44,500.0,2016-05-06 21:28:44,157.0,failed,2,US,157.0,SmartTees,30,78.5,2016,2016,6,5,3278.332275390625
35700,Food,USD,2015-11-01 11:48:53,10000.0,2015-09-02 11:48:53,0.0,failed,0,US,0.0,"""""""SOUL ON THE ROAD"""" A Food Truck With Love.""",60,,2015,2015,11,9,1872.9315185546875
35739,Other,USD,2015-02-24 05:25:00,100000.0,2015-02-04 18:40:08,4.0,failed,4,US,4.0,"""""""The Divine Right""""""",19,1.0,2015,2015,2,2,618.5755004882812
35752,Fashion,EUR,2016-08-12 13:41:52,35000.0,2016-07-13 13:41:52,298.0,failed,5,Other,329.34131604,Make your choice. Innovative shoes for true Gentlemen.,30,65.868263208,2016,2016,8,7,3364.455078125
35960,Design,USD,2013-05-18 03:00:00,70000.0,2013-04-15 13:55:35,1807.0,failed,15,US,1807.0,"""Pit-Grill: Portable Fire Pit and Campfire Grill, Pizza Oven""",32,120.46666666666667,2013,2013,5,4,62495.33984375
35987,Food,USD,2014-08-08 00:00:34,50.0,2014-07-09 00:00:34,0.0,failed,0,US,0.0,Cajun Potato Salad and Gumbo,30,,2014,2014,8,7,2160.086181640625
36193,Music,USD,2009-12-01 18:00:00,1500.0,2009-09-14 08:05:30,1561.0,successful,29,US,1561.0,American Standard Needs to Release Their Debut EP,78,53.827586206896555,2009,2009,12,9,1222.4844970703125
36242,Film & Video,USD,2015-10-11 22:30:01,15000.0,2015-09-11 22:30:01,37.5,failed,3,US,37.5,The Vintage Life,30,12.5,2015,2015,10,9,4370.83154296875
36304,Art,USD,2012-12-28 02:54:53,4362.0,2012-11-28 02:54:53,0.0,failed,0,US,0.0,Youth Alive,30,,2012,2012,12,11,2416.71923828125
36433,Other,USD,2016-06-25 01:48:14,2500.0,2016-05-11 01:48:14,60.0,failed,1,US,60.0,CreArtful Inspiration Creations,45,60.0,2016,2016,6,5,3044.423583984375
36543,Food,USD,2012-02-27 05:59:00,3500.0,2011-12-31 04:46:15,4075.0,successful,49,US,4075.0,"""Princess & Moose's Sister Bakery in Austin, TX""",58,83.16326530612245,2012,2011,2,12,3049.735595703125
36607,Theater,USD,2014-09-11 20:27:45,10000.0,2014-08-12 20:27:45,50.0,failed,2,US,50.0,Building The Dream: Life Could Be A Dream set,30,25.0,2014,2014,9,8,24546.28515625
36662,Food,CAD,2014-08-21 03:43:38,15.0,2014-07-22 03:43:38,1520.0,successful,1,CA,1408.6543304,Soft Boiled Eggs,30,1408.6543304,2014,2014,8,7,1528.3607177734375
36716,Film & Video,GBP,2016-10-26 17:42:35,20000.0,2016-09-26 17:42:35,1.0,failed,1,GB,0.0,YouTube Studio For Creators,30,0.0,2016,2016,10,9,5920.07568359375
36832,Games,USD,2012-12-29 04:02:00,5000.0,2012-11-26 01:26:23,80.0,failed,1,US,80.0,Grit: Battle Race,33,80.0,2012,2012,12,11,1923.1451416015625
36841,Art,USD,2014-11-01 05:00:00,7040.0,2014-09-25 04:36:51,148.0,failed,3,US,148.0,Kickstart my heART! - The Charlotte Art+Bike Movement,37,49.333333333333336,2014,2014,11,9,1662.0504150390625
36895,Film & Video,USD,2016-09-29 22:54:51,3000.0,2016-08-30 22:54:51,390.0,failed,9,US,0.0,ProjectExplorer.org's Netherlands Series,30,0.0,2016,2016,9,8,5475.3857421875
36931,Music,USD,2015-05-05 02:08:39,15000.0,2015-04-05 02:08:39,15890.0,successful,258,US,15890.0,"""Sarah Quintana & Miss River, Duets with Water""",30,61.58914728682171,2015,2015,5,4,2675.7998046875
37072,Art,USD,2016-05-18 21:00:00,1900.0,2016-04-27 22:04:31,31.0,failed,3,US,31.0,Gx Drone Photography,20,10.333333333333334,2016,2016,5,4,1113.722900390625
37150,Fashion,USD,2012-12-14 04:33:03,3000.0,2012-11-27 04:33:03,375.0,failed,9,US,375.0,Time for Mast to Hoist the Sails!,17,41.666666666666664,2012,2012,12,11,3829.32177734375
37178,Film & Video,USD,2010-05-31 18:44:00,5000.0,2010-03-02 18:43:06,5021.0,successful,47,US,5021.0,Wo Ai Ni (I Love You) Mommy,90,106.82978723404256,2010,2010,5,3,6142.1591796875
37186,Film & Video,USD,2015-01-10 04:52:24,24900.0,2014-11-11 04:52:24,7.0,failed,3,US,7.0,Fat to Fit in 180 days!,60,2.3333333333333335,2015,2014,1,11,1201.502197265625
37281,Technology,USD,2013-04-12 04:02:12,5500.0,2013-02-11 04:02:12,1308.0,failed,26,US,1308.0,Remote Mask - Simplifies Satellite/CableTV Remote Controls,60,50.30769230769231,2013,2013,4,2,4198.0419921875
37378,Food,USD,2016-08-06 21:08:24,55000.0,2016-07-17 21:08:24,10.0,failed,1,US,0.0,Soul Shine Farms 100% Grass Fed Beyond Organic Prime Beef,20,0.0,2016,2016,8,7,1668.333740234375
37399,Games,GBP,2014-11-29 20:52:10,1000.0,2014-09-30 20:52:10,358.0,failed,8,GB,581.18864526,InstaLan Gaming Festival,60,72.6485806575,2014,2014,11,9,2400.94873046875
37426,Games,USD,2012-04-24 21:50:50,20000.0,2012-02-24 20:50:50,635.0,failed,22,US,635.0,Main Street MMO: Real Cities in Realtime 3D,60,28.863636363636363,2012,2012,4,2,2652.565185546875
37510,Comics,USD,2011-10-21 02:14:03,10000.0,2011-08-22 02:14:03,175.0,failed,5,US,175.0,Boudicca the Graphic Novel,60,35.0,2011,2011,10,8,2457.444580078125
37599,Music,USD,2015-07-22 16:00:00,1200.0,2015-06-04 16:49:57,65.0,failed,2,US,65.0,Wilder Sons Summer Tour Fund,47,32.5,2015,2015,7,6,1560.8287353515625
37608,Publishing,GBP,2016-07-31 22:00:00,4000.0,2016-07-21 19:46:04,9266.0,successful,374,GB,7311.36302015,The (Still) Mad One: The Wife in Space Volume 5,10,19.549098984358288,2016,2016,7,7,756.0067749023438
37632,Design,GBP,2014-06-12 19:12:09,500.0,2014-05-13 19:12:09,0.0,failed,0,GB,0.0,World Cup Wall Chart Poster,30,,2014,2014,6,5,5908.21435546875
37818,Film & Video,GBP,2016-05-11 21:10:59,450.0,2016-04-11 21:10:59,575.0,successful,13,GB,812.2317865,Death Is Blind,30,62.47936819230769,2016,2016,5,4,825.1245727539062
38014,Music,USD,2011-07-14 03:14:25,4500.0,2011-05-30 03:14:25,5724.0,successful,91,US,5724.0,Naked Gods Need A Van!,45,62.9010989010989,2011,2011,7,5,7603.06005859375
38038,Music,USD,2016-03-04 00:16:42,100000.0,2016-02-03 00:16:42,25.0,failed,1,US,25.0,Grind Mode Music Worldwide,30,25.0,2016,2016,3,2,23640.447265625
38077,Theater,GBP,2016-08-01 00:59:00,500.0,2016-07-08 01:17:10,500.0,successful,12,GB,32.1619935,"""23, Please: The Sketch Show That Never Was @ Edinburgh""",23,2.680166125,2016,2016,8,7,1662.92138671875
38099,Art,USD,2015-03-02 02:16:32,800.0,2015-01-31 02:16:32,0.0,failed,0,US,0.0,Juliana: Crossing the Heavens,30,,2015,2015,3,1,2118.511474609375
38278,Technology,USD,2014-12-19 20:52:10,350000.0,2014-10-20 20:52:10,25.0,failed,1,US,25.0,Ariel Sky - Not Your Mama's EMR,60,25.0,2014,2014,12,10,14942.0791015625
38335,Games,GBP,2016-09-01 13:00:00,5000.0,2016-08-12 09:19:58,331.0,failed,6,GB,429.3168792,Thetford Gaming Centre,20,71.5528132,2016,2016,9,8,-17517.408203125
38464,Design,USD,2015-08-14 18:09:24,500000.0,2015-07-15 18:09:24,1.0,failed,1,US,1.0,Exotic Wildlife Education Center,30,1.0,2015,2015,8,7,12199.3515625
38546,Technology,USD,2016-07-09 04:39:18,25000.0,2016-05-10 04:39:18,330.0,failed,8,US,330.0,FoodPunchh ... #WTFoodPunchh?,60,41.25,2016,2016,7,5,14318.693359375
38547,Photography,USD,2014-04-13 04:10:33,5500.0,2014-03-29 03:10:33,440.0,failed,4,US,440.0,A Studio Startup,15,110.0,2014,2014,4,3,525.9234008789062
38579,Music,USD,2015-12-01 06:59:00,60000.0,2015-10-19 15:32:33,895.0,failed,22,US,895.0,New DJ Maj Record (Title TBA),42,40.68181818181818,2015,2015,12,10,4771.1201171875
38928,Music,USD,2014-12-08 05:59:00,15000.0,2014-11-07 13:25:11,15000.0,successful,59,US,15000.0,Joseph Bosco - Original Worship Album,30,254.23728813559322,2014,2014,12,11,22544.154296875
38938,Music,USD,2014-03-02 00:14:58,5000.0,2014-02-02 00:14:58,5119.0,successful,132,US,5119.0,Ibex & The Debut Album,28,38.78030303030303,2014,2014,3,2,7216.79150390625
38948,Theater,USD,2011-11-30 15:04:00,2000.0,2011-10-19 17:39:16,2030.0,successful,41,US,2030.0,Voice 4 Vision Puppet Festival,41,49.51219512195122,2011,2011,11,10,1721.384521484375
39007,Technology,CAD,2015-01-24 15:25:18,700000.0,2014-11-25 15:25:18,1.0,failed,1,CA,0.89053936,Virtual Intelligence,60,0.89053936,2015,2014,1,11,4080.470703125
39016,Food,USD,2015-01-07 23:17:48,5500.0,2014-12-08 23:17:48,0.0,failed,0,US,0.0,Family Greenhouse and Nursery,30,,2015,2014,1,12,4125.083984375
39044,Games,USD,2015-07-03 21:16:12,5000.0,2015-06-03 21:16:12,9476.0,successful,442,US,9476.0,"""The Folio #3, 1E/5E format, Adventure Module!""",30,21.43891402714932,2015,2015,7,6,24888.65625
39153,Fashion,EUR,2015-12-06 23:59:00,2000.0,2015-11-12 01:31:28,180.0,failed,3,Other,193.4587296,Berty Paris - Herkimer diamonds bracelets,24,64.4862432,2015,2015,12,11,883.539306640625
39163,Food,USD,2014-01-23 19:17:07,7000.0,2013-12-24 19:17:07,637.0,failed,19,US,637.0,Wonderland Cakes Dessert Truck,30,33.526315789473685,2014,2013,1,12,4040.744140625
39164,Music,GBP,2014-03-26 23:29:37,1250.0,2014-01-26 00:29:37,1405.05,successful,77,GB,2336.939801958,"""TOXIC MELONS - """"BUS THERAPY"""" KICK-STARTER CAMPAIGN!""",59,30.3498675578961,2014,2014,3,1,497.30621337890625
39256,Food,GBP,2016-08-19 21:17:10,53613.0,2016-06-20 21:17:10,4.0,failed,4,GB,1.43589037,Ancient Wine & Beer Experiment - Research Documentary,60,0.3589725925,2016,2016,8,6,14.420234680175781
39261,Publishing,USD,2014-07-04 18:25:14,2500.0,2014-05-05 18:25:14,0.0,failed,0,US,0.0,The Reenactors Guide To World War Two Germans,60,,2014,2014,7,5,2980.900146484375
39302,Technology,USD,2016-07-15 18:45:47,250000.0,2016-06-15 18:45:47,201.0,failed,2,US,200.0,Internet Doorbell / Alarm System,30,100.0,2016,2016,7,6,4074.823486328125
39328,Food,USD,2010-09-16 21:40:00,4700.0,2010-08-17 01:29:43,991.0,failed,6,US,991.0,Nation of Cooks: A home to home traveling cooking experience,30,165.16666666666666,2010,2010,9,8,4553.435546875
39379,Music,USD,2012-11-10 22:27:35,8000.0,2012-10-11 22:27:35,826.0,failed,14,US,826.0,Nacha Mendez: My next recording is near completion!,30,59.0,2012,2012,11,10,3984.953125
39389,Music,USD,2012-11-22 22:57:11,650.0,2012-10-23 22:57:11,3.0,failed,1,US,3.0,Restart The Ending's First Album,30,3.0,2012,2012,11,10,3939.913818359375
39453,Fashion,Other,2014-11-25 02:35:28,10000.0,2014-10-23 02:35:28,14601.0,successful,51,Other,12854.93926899,Xavier Aston Watches,33,252.0576327252941,2014,2014,11,10,6126.69189453125
39476,Comics,USD,2011-01-31 21:18:00,1000.0,2010-11-09 15:49:39,170.0,failed,4,US,170.0,Sequential Imagery Consortium Anthology,83,42.5,2011,2010,1,11,2093.38720703125
39533,Games,CAD,2016-04-13 16:13:48,12500.0,2016-03-14 15:13:48,698.0,failed,5,CA,528.26202124,Bombs'n Zombies - A post-apocalyptic themed match game.,30,105.652404248,2016,2016,4,3,11548.236328125
39547,Design,USD,2015-01-09 23:43:46,70000.0,2014-12-30 23:43:46,201.0,failed,2,US,201.0,Renovation...The Ultimate Recycling Project,10,100.5,2015,2014,1,12,-630.059814453125
39553,Technology,Other,2016-02-10 17:12:09,3000000.0,2016-01-11 17:12:09,0.0,failed,0,Other,0.0,HST - Anti Cyber Hacking  Hidden Sovereign Technology,30,,2016,2016,2,1,1459.958740234375
39558,Publishing,USD,2016-11-23 19:00:00,4000.0,2016-10-07 02:32:59,0.0,failed,0,US,0.0,Publication and Launch of Becoming The IDEAL!,47,,2016,2016,11,10,4953.10302734375
39692,Music,USD,2011-05-26 01:21:17,5000.0,2011-04-11 01:21:17,6111.0,successful,111,US,6111.0,Help The Rizers Make Album #2!,45,55.054054054054056,2011,2011,5,4,14747.4033203125
39788,Games,GBP,2016-08-22 12:38:02,10000.0,2016-07-23 12:38:02,2606.33,failed,131,GB,1387.5749986674,Seasteader,30,10.592175562346565,2016,2016,8,7,10570.1474609375
39863,Publishing,USD,2011-10-26 07:12:13,3000.0,2011-10-10 07:12:13,3221.0,successful,28,US,3221.0,Simon Vector,16,115.03571428571429,2011,2011,10,10,2503.19189453125
39880,Publishing,USD,2016-02-09 17:57:39,2500.0,2016-01-12 17:57:39,5700.0,successful,110,US,5700.0,My Bad Bad Dog: Picture Book Starring Mischievous Husky,28,51.81818181818182,2016,2016,2,1,2661.076416015625
40006,Food,Other,2014-07-05 09:51:35,2500.0,2014-06-15 09:51:35,195.0,failed,7,Other,183.3430482,Paddock to plate,20,26.191864028571427,2014,2014,7,6,3692.765625
40078,Food,Other,2014-08-08 09:47:00,50.0,2014-08-02 10:53:48,0.0,failed,0,Other,0.0,Welcome home BBQ for my best friends,5,,2014,2014,8,8,-693.7376098632812
40129,Art,USD,2016-09-29 00:22:58,20000.0,2016-08-30 00:22:58,251.0,failed,2,US,0.0,CNC Router and Hydrographic Designs,30,0.0,2016,2016,9,8,895.1962890625
40147,Music,USD,2012-06-30 19:37:08,3000.0,2012-05-31 19:37:08,3136.0,successful,68,US,3136.0,"""Alex Wyatt's Debut Album, There's Always Something!""",30,46.11764705882353,2012,2012,6,5,3365.880126953125
40150,Film & Video,USD,2015-04-19 21:37:59,6000.0,2015-02-18 21:37:59,125.0,failed,5,US,125.0,LOVE ON DUTY,60,25.0,2015,2015,4,2,4005.02734375
40251,Design,USD,2014-04-21 06:59:00,3500.0,2014-04-03 21:20:41,135.0,failed,2,US,135.0,Modern furniture/home products from the Peruvian Amazon,17,67.5,2014,2014,4,4,9181.033203125
40255,Games,USD,2015-02-16 06:00:00,10000.0,2015-01-07 08:37:45,715.0,failed,34,US,715.0,3D Puzzle Ship,39,21.029411764705884,2015,2015,2,1,6558.7255859375
40274,Games,GBP,2014-11-28 23:01:21,3000.0,2014-10-29 22:01:21,10169.0,successful,206,GB,16401.1102922,Minion Miniatures - The Monsters of Underdeep,30,79.61704025339806,2014,2014,11,10,18678.974609375
40317,Art,USD,2012-03-26 01:44:00,1500.0,2012-02-03 08:26:17,20.0,failed,1,US,20.0,SEA MONSTER. An oil spill art show.,51,20.0,2012,2012,3,2,2342.7099609375
40375,Games,USD,2012-10-02 07:46:00,100000.0,2012-08-13 07:46:00,20022.0,failed,177,US,20022.0,InKarnate RPG Toolset,50,113.11864406779661,2012,2012,10,8,50310.7578125
40384,Art,USD,2016-10-04 06:00:00,100.0,2016-08-29 23:51:44,114.0,successful,2,US,0.0,Tyrannosaurus rex Skeleton Limited Edition Bronze Sculpture,35,0.0,2016,2016,10,8,3423.06298828125
40391,Fashion,USD,2014-12-24 04:19:03,1500.0,2014-11-24 04:19:03,260.0,failed,5,US,260.0,If I Die Young Clothing A Non Profit Organization,30,52.0,2014,2014,12,11,1151.6900634765625
40433,Music,USD,2014-05-11 01:39:52,6000.0,2014-05-05 01:39:52,7500.0,successful,23,US,7500.0,SF Bay Area recording studio redux,6,326.0869565217391,2014,2014,5,5,-350.7703857421875
40624,Food,USD,2014-10-20 15:04:50,122000.0,2014-09-20 15:04:50,0.0,failed,0,US,0.0,Delights from Delore Bakery,30,,2014,2014,10,9,10663.98828125
40833,Food,USD,2015-06-12 00:44:26,5000.0,2015-05-13 00:44:26,0.0,failed,0,US,0.0,"""Dreamers Organic, clean food, little footprint.""",30,,2015,2015,6,5,2688.452880859375
40971,Food,CAD,2015-05-14 20:23:06,300000.0,2015-04-14 20:23:06,70.0,failed,2,CA,55.5475319,Counting Sheep Coffee Ramp Up!,30,27.77376595,2015,2015,5,4,7637.04638671875
41083,Film & Video,USD,2014-06-22 17:00:04,7000.0,2014-05-23 17:00:04,7318.0,successful,57,US,7318.0,Sea of Red,30,128.3859649122807,2014,2014,6,5,14031.6767578125
41088,Music,USD,2016-10-26 23:48:49,1.0,2016-09-26 23:48:49,3285.0,successful,39,US,0.0,Aaron Gibson with Strings Attached,30,0.0,2016,2016,10,9,3158.1025390625
41170,Music,USD,2011-02-21 19:30:33,5000.0,2011-01-22 19:30:33,5415.45,successful,111,US,5415.45,Eagle and Talon to birth new record & new record label!,30,48.787837837837834,2011,2011,2,1,7205.84130859375
41299,Fashion,USD,2012-09-25 23:56:48,2000.0,2012-08-16 23:56:48,1436.0,failed,31,US,1436.0,Airplane Tees - Vintage Retro Aviation Inspired Apparel,40,46.32258064516129,2012,2012,9,8,3628.52294921875
41396,Fashion,USD,2016-09-24 23:39:26,50000.0,2016-08-25 23:39:26,46.0,failed,1,US,0.0,Kimber Collection,30,0.0,2016,2016,9,8,281.2636413574219
41410,Comics,EUR,2015-06-11 05:43:42,600.0,2015-05-12 05:43:42,1.0,failed,1,Other,1.12079101,2020 A.D.,30,1.12079101,2015,2015,6,5,3132.56201171875
41502,Fashion,USD,2016-04-15 16:45:18,10000.0,2016-03-16 15:45:18,0.0,failed,0,US,0.0,Dope Soul,30,,2016,2016,4,3,3200.51611328125
41525,Technology,USD,2015-12-18 04:31:04,17000.0,2015-11-18 04:31:04,160.0,failed,3,US,160.0,Xkey-Mod,30,53.333333333333336,2015,2015,12,11,13889.27734375
41580,Technology,USD,2016-01-03 22:55:39,5000.0,2015-11-19 22:55:39,293.0,failed,16,US,293.0,Fund This Book: Essentials of Rocket Stove Mass Heaters,45,18.3125,2016,2015,1,11,31371.6171875
41591,Art,USD,2015-04-08 05:59:00,22000.0,2015-03-09 16:11:33,27741.0,successful,295,US,27741.0,Billion Oyster Pavilion,29,94.03728813559322,2015,2015,4,3,2719.421142578125
41633,Music,USD,2012-12-02 21:20:49,350.0,2012-11-09 21:20:49,350.0,successful,10,US,350.0,Wake Up and Dream: A Musical Tribute to Benji Wilhoite,23,35.0,2012,2012,12,11,3668.4970703125
41641,Film & Video,CAD,2014-11-23 22:08:56,15000.0,2014-10-24 22:08:56,5.0,failed,1,CA,4.44497785,"""Nerds Of Online Podcast - """"Nerdcast""""""",30,4.44497785,2014,2014,11,10,1289.605224609375
41680,Food,USD,2016-05-28 05:59:00,6000.0,2016-05-11 11:45:42,6232.0,successful,119,US,6232.0,The Square Scullery Food Truck,16,52.36974789915966,2016,2016,5,5,18726.1953125
41733,Design,EUR,2016-05-09 11:34:14,1000.0,2016-03-10 11:34:14,1195.0,successful,24,Other,1311.48621,Face It! Design Event,60,54.64525875,2016,2016,5,3,11090.689453125
41834,Theater,GBP,2013-05-03 13:42:22,1500.0,2013-04-03 13:42:22,1750.0,successful,40,GB,2666.780445,Blasted Heath - Presented by Cut String Theatre,30,66.669511125,2013,2013,5,4,13523.4658203125
41847,Design,GBP,2015-07-31 23:59:00,800.0,2015-06-28 02:38:20,848.0,successful,33,GB,1334.86759088,Stadiums Across The World,33,40.4505330569697,2015,2015,7,6,12058.8515625
42006,Fashion,USD,2016-09-10 05:56:32,10000.0,2016-07-12 05:56:32,0.0,failed,0,US,0.0,MUZZI,60,,2016,2016,9,7,2667.886962890625
42151,Fashion,USD,2014-10-19 21:52:53,1500.0,2014-09-19 21:52:53,45.0,failed,2,US,45.0,Smarty Ears Hat,30,22.5,2014,2014,10,9,4170.7900390625
42164,Fashion,CAD,2016-11-12 05:59:00,15000.0,2016-10-12 14:38:57,84290.0,successful,327,CA,4022.08241991,The Sneaker Disguised As A Dress Shoe,30,12.299946238256881,2016,2016,11,10,3327.158447265625
42167,Design,Other,2016-01-08 08:29:57,15000.0,2015-12-09 08:29:57,2501.0,failed,19,Other,1811.25833865,Millennium Watches - A watch for all occasions,30,95.32938624473684,2016,2015,1,12,30030.666015625
42211,Technology,Other,2015-09-09 05:40:00,250000.0,2015-08-11 01:13:21,0.0,failed,0,Other,0.0,Prego Smartphone application for IOS & Android,29,,2015,2015,9,8,2610.1728515625
42233,Food,USD,2015-01-16 00:04:02,10000.0,2014-11-17 00:04:02,35.0,failed,3,US,35.0,A & J's Tasty Eats & Treats  Needs Funding to be complete  .,60,11.666666666666666,2015,2014,1,11,1062.6588134765625
42288,Games,USD,2012-04-10 06:33:51,4500.0,2012-02-25 06:33:51,5939.0,successful,75,US,5939.0,Lexicons of Dueling,45,79.18666666666667,2012,2012,4,2,7788.5517578125
42319,Fashion,USD,2015-05-02 04:00:00,5000.0,2015-03-30 21:46:17,0.0,failed,0,US,0.0,Weapons Cheat T-Shirt,32,,2015,2015,5,3,14036.0009765625
42326,Games,USD,2015-07-02 21:00:48,2500.0,2015-06-02 21:00:48,19966.0,successful,570,US,19966.0,"""GRIM - A """"Roll For Your Life!"""" Dice Game""",30,35.02807017543859,2015,2015,7,6,1281.7547607421875
42338,Design,USD,2013-05-11 22:54:13,500.0,2013-04-11 22:54:13,1.0,failed,1,US,1.0,Puppies and Bows,30,1.0,2013,2013,5,4,10205.8466796875
42367,Fashion,EUR,2015-05-22 22:19:03,50000.0,2015-03-23 21:19:03,55784.0,successful,200,Other,60361.9725332,House of Eleonore - Affordable Innovation in Fine Jewellery,60,301.809862666,2015,2015,5,3,11229.3466796875
42377,Other,USD,2016-04-16 17:52:00,12500.0,2016-03-17 16:52:00,11.0,failed,2,US,11.0,Party pics ..tooth pics,30,5.5,2016,2016,4,3,3031.18603515625
42524,Film & Video,EUR,2016-06-24 08:35:21,30000.0,2016-05-25 08:35:21,976.0,failed,9,Other,1094.08332176,The Global Story of Water,30,121.56481352888889,2016,2016,6,5,11690.185546875
42534,Film & Video,USD,2014-01-29 03:09:00,25000.0,2013-12-30 03:22:33,0.0,failed,0,US,0.0,THRONE: RMC,29,,2014,2013,1,12,5705.33203125
42541,Comics,USD,2013-08-26 23:12:01,200000.0,2013-07-16 23:12:01,24567.0,failed,325,US,24567.0,Strongman: Volume One,41,75.59076923076923,2013,2013,8,7,9819.5712890625
42596,Photography,USD,2015-07-16 03:44:00,3000.0,2015-06-17 07:56:29,5703.0,successful,89,US,5703.0,WHEN THE DEUCE WAS WILD (TIMES SQUARE IN THE 70'S - 80'S ),28,64.07865168539325,2015,2015,7,6,6632.42431640625
42611,Design,USD,2013-01-09 08:00:00,2000.0,2012-12-20 09:42:46,3109.0,successful,14,US,3109.0,Manatee: The stand for iPad using in bed and sofa.,19,222.07142857142858,2013,2012,1,12,5088.22412109375
42678,Music,USD,2012-08-15 06:01:00,3000.0,2012-07-26 22:19:37,25.0,failed,1,US,25.0,"""""""Weeping Like A Child"""" CD--Kevin Kane and the Grifters""",19,25.0,2012,2012,8,7,1027.6302490234375
42688,Other,USD,2010-12-12 04:31:59,3000.0,2010-10-13 04:31:59,4891.0,successful,67,US,4891.0,The Materiality of Impermanence,60,73.0,2010,2010,12,10,700.9068603515625
42708,Film & Video,USD,2012-09-10 03:24:54,22500.0,2012-08-05 03:24:54,25481.99,successful,202,US,25481.99,For Ed Ricketts | a documentary,36,126.14846534653466,2012,2012,9,8,16809.98828125
42733,Publishing,USD,2013-04-14 00:35:06,2650.0,2013-03-14 23:35:06,2970.0,successful,62,US,2970.0,Kinley The Water Dragon,30,47.903225806451616,2013,2013,4,3,1212.18115234375
42789,Film & Video,USD,2016-03-18 03:16:06,5700.0,2016-03-01 04:16:06,5760.02,successful,83,US,5760.02,Eden - A Sci-Fi Short Film Adventure,16,69.39783132530121,2016,2016,3,3,5626.9228515625
42794,Design,USD,2013-08-06 19:23:01,47000.0,2013-06-07 19:23:01,3824.0,failed,87,US,3824.0,Silicone Ball Jar Water Bottle,60,43.95402298850575,2013,2013,8,6,77.00682830810547
42807,Film & Video,USD,2011-12-09 08:59:00,10000.0,2011-11-08 17:46:17,930.0,failed,13,US,930.0,"""Halloween Avenue, a horror-thriller film.""",30,71.53846153846153,2011,2011,12,11,2819.287841796875
42935,Games,USD,2015-04-19 05:36:30,12500.0,2015-03-10 04:36:30,0.0,failed,0,US,0.0,LEFT BEHIND,40,,2015,2015,4,3,8308.0419921875
42984,Theater,GBP,2016-06-27 21:00:00,500.0,2016-05-13 14:57:34,633.0,successful,28,GB,913.97119755,Blue Stockings @ The Cockpit Theatre,45,32.64182848392857,2016,2016,6,5,50566.84765625
43019,Other,USD,2012-02-13 14:52:33,5000.0,2012-01-14 14:52:33,576.0,failed,5,US,576.0,Help Send a Fiber Artist to the Baltimore Craft Show,30,115.2,2012,2012,2,1,3667.7177734375
43082,Food,USD,2015-01-10 00:08:21,7200.0,2014-11-26 00:08:21,114.0,failed,3,US,114.0,Kydz Inc Cake Pops,45,38.0,2015,2014,1,11,12414.2607421875
43106,Fashion,USD,2012-07-03 00:19:53,2500.0,2012-06-12 00:19:53,786.0,failed,16,US,786.0,Concrete Fields - Summer 2012 Line,21,49.125,2012,2012,7,6,1849.749267578125
43175,Film & Video,USD,2011-03-08 08:59:00,14500.0,2011-01-24 21:21:59,31.0,failed,2,US,31.0,The Mother Theresa of Oregon,42,15.5,2011,2011,3,1,8085.158203125
43228,Music,USD,2013-01-10 05:47:29,39000.0,2012-12-11 05:47:29,61084.23,successful,2193,US,61084.23,Lester's Time Has Come Today,30,27.85418604651163,2013,2012,1,12,2865.520263671875
43282,Music,USD,2013-11-26 19:05:40,10000.0,2013-11-12 19:05:40,0.0,failed,0,US,0.0,Free Online Music Video Search Engine (www.playitt.com),14,,2013,2013,11,11,6704.06689453125
43313,Music,USD,2014-07-26 18:30:15,3500.0,2014-06-26 18:30:15,921.0,failed,11,US,921.0,"""The DoSo™ Violin: A Low Cost, Great Sounding Electric Violin""",30,83.72727272727273,2014,2014,7,6,3504.336669921875
43434,Fashion,USD,2013-02-13 11:00:00,2000.0,2013-01-14 07:30:09,35.0,failed,1,US,35.0,Creation Clothing Printing 1st Round shirts,30,35.0,2013,2013,2,1,2725.949951171875
43726,Music,USD,2012-04-28 08:59:00,3600.0,2012-04-09 20:26:44,12545.0,successful,170,US,12545.0,Re-Visiting Visitor(&onelinedrawing),18,73.79411764705883,2012,2012,4,4,2850.5517578125
43729,Film & Video,USD,2011-04-25 17:50:49,3200.0,2011-03-25 16:50:49,3225.0,successful,26,US,3225.0,A Perfect Union,31,124.03846153846153,2011,2011,4,3,11222.134765625
43829,Film & Video,USD,2012-12-10 23:19:38,35000.0,2012-11-10 23:19:38,265.0,failed,4,US,265.0,House of Seven the animated series,30,66.25,2012,2012,12,11,6748.00830078125
43888,Film & Video,USD,2012-10-22 00:37:45,3000.0,2012-09-22 00:37:45,3051.0,successful,10,US,3051.0,Love of My Life Memoirs of a Love Lost: The Movie,30,305.1,2012,2012,10,9,3481.492431640625
